,,,,,,,Pillars dwell (s),,,,,,,,
filename,material,ID,code,notes,energy (kV),current (nA),1,2,3,4,5,6,7,8,9
D1_49a1T_001,W,49,a,im,5,0.041,1,1.4,2,2.8,4,5.7,8,11.3,16
D1_49b1T_001,W,49,b,im,5,0.33,1,1.4,2,2.8,4,5.7,8,11.3,16
D1_49c1T_001,W,49,c,im,5,1.33,1,1.4,2,2.8,4,5.7,8,11.3,16
,W,49,d,im,5,10.57,1,1.4,2,2.8,4,5.7,8,11.3,16
B1_52a1T,W,52,a,im,20,0.041,1,1.4,2,2.8,4,5.7,8,11.3,16
B1_52b1T,W,52,b,im,20,0.33,1,1.4,2,2.8,4,5.7,8,11.3,16
D1_49g1T_001,W,49,g,im,20,1.36,1,1.4,2,2.8,4,5.7,8,11.3,16
D1_49h1T_001,W,49,h,im,20,10.72,1,1.4,2,2.8,4,5.7,8,11.3,16
B1_52a2T,W,52,a2,"im, dump",20,0.041,,0.25,0.35,0.5,0.71,1,1.4,2,2.8
B1_52b2T_001,W,52,b2,"im, dump",20,0.33,,0.25,0.35,0.5,0.71,1,1.4,2,2.8
,W,52,d5,"im, dump",20,1.36,,0.25,0.35,0.5,0.71,1,1.4,2,2.8
B1_52c2T,W,52,c2,"im, dump",20,10.72,,0.25,0.35,0.5,0.71,1,1.4,2,2.8
A3_50g1T_001,Pt,50,g,im,5,0.041,1,1.4,2,2.8,4,5.7,8,11.3,16
A3_50h1T_001,Pt,50,h,im,5,0.33,1,1.4,2,2.8,4,5.7,8,11.3,16
A3_50i1T_001,Pt,50,i,im,5,1.33,1,1.4,2,2.8,4,5.7,8,11.3,16
,Pt,50,j,im,5,10.57,1,1.4,2,2.8,4,5.7,8,11.3,16
A3_50k1T_001,Pt,50,k,im,20,0.041,1,1.4,2,2.8,4,5.7,8,11.3,16
A3_50l1T_001,Pt,50,l,im,20,0.33,1,1.4,2,2.8,4,5.7,8,11.3,16
A3_50m1T_001,Pt,50,m,im,20,1.36,1,1.4,2,2.8,4,5.7,8,11.3,16
A3_50n1T_001,Pt,50,n,im,20,10.72,1,1.4,2,2.8,4,5.7,8,11.3,16
